item_id,item_type,date,title,sources,article_ids,likely_primary_source,sample_summary
TL-62,timeline,2014-01-21,Sanjorge of GAStech saved from the kidnapping in the HQ of GAStech,The Guide,62,The Guide,"According to a press conference it maintained in the headquarters of GAStech in Centrum, Tethys this morning, president and CEO, GAStech CEO Sten Sanjorge Je returned surely to Tethys after the disclo"
TL-624,timeline,2014-01-21,VOICES - a blog on what is important to people,Centrum Sentinel,624,Centrum Sentinel,1016 - A megaphone of GAStech has announced hardly that the CEO Sten Sanjorge is not with the employs missing and has sent back to Tethys. It is presupposed that he has been yesterday a passenger on o
TL-654,timeline,2014-01-21,ON THE SCENE BLOG,The Abila Post,654,The Abila Post,"1013 UPDATE - CEO Sten Sanjorge, Jr. is not among the missing GAStech employees and is safe back in GAStech's Tethys headquarters in the capital Centrum. Names of the missing have still not been relea"
TL-676,timeline,2014-01-21,Police Hold News Conference on GAStech Kidnapping,News Online Today,676,News Online Today,The Abila police held a press conference at nine this morning on the kidnapping GAStech headquarters. Police informed reporters that four of the GAStech employees whose whereabouts were unconfirmed ye
TL-689,timeline,2014-01-21,GAStech's Sanjorge Escapes Kidnapping at GAStech HQ,International News,689,International News,"According to a press conference held at GAStech headquarters in Centrum, Tethys this morning, GAStech's President and CEO, Sten Sanjorge Jr. returned safely to Tethys after a reported kidnapping event"
TL-693,timeline,2014-01-21,Police Hold News Conference on GAStech Kidnapping,Kronos Star,693,Kronos Star,The Abila police held a press conference at nine this morning on the kidnapping GAStech headquarters. Police informed reporters that four of the GAStech employees whose whereabouts were unconfirmed ye
TL-727,timeline,2014-01-21,ON SCENE BLOG,Modern Rubicon,727,Modern Rubicon,934 - the police of Abila has indicated that the application of law and the civil employees of government from Tethys are working with. The number of the missing has been modified fourteen to ten. The
TL-738,timeline,2014-01-21,VOICES - a blog about what is important to the people,Homeland Illumination,738,Homeland Illumination,0715 - Welcome to our continuing coverage of the disappearance of several GAStech employees. What we know: Police have announced that fourteen GAStech employees disappeared sometime yesterday morning.
TL-752,timeline,2014-01-21,Sanjorge Escapes from  GAStech removing at the HQ of GAStech,Worldwise,752,Worldwise,"According to a press conference was held with the registered offices of GAStech in the centrum, Tethys this morning, president and CEO of GAStech, Sten Sanjorge Jr., returned without risk to Tethys af"
TL-787,timeline,2014-01-21,GASTech Employees Kidnapped in Kronos,World Source,787,World Source,"Fourteen employees feared kidnapped in Kronos by a radical environmental terrorist group during a corporate gathering. Fourteen employees, including possibly five executive officers, are feared kidnap"
TL-822,timeline,2014-01-21,RANSOM DEMANDS MADE IN THE KIDNAPPING OF GASTECH,The Light of Truth,822,The Light of Truth,"The guards of Kronos took not only the responsability for the kidnapping of the international employees of GAStech, but also made a ransom demand of $20M starting from the president and PRESIDENT Sten"
TL-824,timeline,2014-01-21,RANSOM DEMANDS MADE IN GASTECH KIDNAPPING,The World,824,The World,"The Protectors of Kronos have not only taken responsibility for the kidnapping of GAStech International employees, but have also made a ransom demand of $20M from the President and CEO Sten Sanjorge, "
