event_id,date,date_precision,event_title,event_type,narrative_lines,narrative_line_names,importance,importance_score_1_to_5,related_entities,related_locations,source_count,sources,article_ids,likely_primary_source,evidence_summary,key_quote_or_summary,source_file,review_status
EVT-0112,2010-12-18,day,PREOCCUPATIONS OF THE INVESTMENT OF BUSINESS IN KRONOS,cross_source_story,1,商业利益线,medium,3,GAStech|Government,,2,The General Post; The Light of Truth,345;432,The General Post,"A survey of the straw of assistants in the economic forum in Davos, Switzerland of the world indicates that the international leaders of business are not interested in making business with the governm","A survey of the straw of assistants in the economic forum in Davos, Switzerland of the world indicates that the international leaders of business are not interested in making business with the governm",narrative_line_1_商业利益线.csv,auto_clustered
EVT-0114,2011-06-20,day,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KAREL,cross_source_story,1,商业利益线,medium,3,GAStech|POK|Government|Elian Karel|Elodis|Abila,Elodis|Abila,1,Homeland Illumination,161;225,Homeland Illumination,"Two years ago yesterday Elian Karel died at age 28 in an Abila jail cell, purportedly of cardiac arrest. He had been arrested three months prior for spurious charges of tax evasion and left to linger ","Two years ago yesterday Elian Karel died at age 28 in an Abila jail cell, purportedly of cardiac arrest. He had been arrested three months prior for spurious charges of tax evasion and left to linger ",narrative_line_1_商业利益线.csv,auto_clustered
EVT-0114,2011-06-20,day,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KAREL,cross_source_story,3,组织对抗线,medium,3,GAStech|POK|Government|Elian Karel|Elodis|Abila,Elodis|Abila,1,Homeland Illumination,161;225,Homeland Illumination,"Two years ago yesterday Elian Karel died at age 28 in an Abila jail cell, purportedly of cardiac arrest. He had been arrested three months prior for spurious charges of tax evasion and left to linger ","Two years ago yesterday Elian Karel died at age 28 in an Abila jail cell, purportedly of cardiac arrest. He had been arrested three months prior for spurious charges of tax evasion and left to linger ",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0115,2011-06-21,day,A GLANCE BEHIND IN A CUT TRAGICAL OF THE LIFE PUTS IN SHORT CIRCUIT: ELIAN KAREL,cross_source_story,1,商业利益线,medium,3,POK|Elian Karel|Elodis|Abila|GAStech|Government,Elodis|Abila,3,All News Today; Daily Pegasus; News Online Today,175;288;77,Daily Pegasus,"For two years of Elian Karel died yesterday in age 28 in a cell of the jail of Abila, presumably of the failure cardiac. They had arrested it three months previous for the false loads of left fiscal e","For two years of Elian Karel died yesterday in age 28 in a cell of the jail of Abila, presumably of the failure cardiac. They had arrested it three months previous for the false loads of left fiscal e",narrative_line_1_商业利益线.csv,auto_clustered
EVT-0115,2011-06-21,day,A GLANCE BEHIND IN A CUT TRAGICAL OF THE LIFE PUTS IN SHORT CIRCUIT: ELIAN KAREL,cross_source_story,3,组织对抗线,medium,3,POK|Elian Karel|Elodis|Abila|GAStech|Government,Elodis|Abila,3,All News Today; Daily Pegasus; News Online Today,175;288;77,Daily Pegasus,"For two years of Elian Karel died yesterday in age 28 in a cell of the jail of Abila, presumably of the failure cardiac. They had arrested it three months previous for the false loads of left fiscal e","For two years of Elian Karel died yesterday in age 28 in a cell of the jail of Abila, presumably of the failure cardiac. They had arrested it three months previous for the false loads of left fiscal e",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0116,2011-06-21,day,POK Protesters Vandalize Siopa District,cross_source_story,3,组织对抗线,medium,3,POK|Abila,Abila,2,News Online Today; Worldwise,416;774,News Online Today,A Protectors of Kronos demonstration in the streets of the Siopa district in downtown Abila resulted in numerous incidents of vandalism and opportunistic looting yesterday.,A Protectors of Kronos demonstration in the streets of the Siopa district in downtown Abila resulted in numerous incidents of vandalism and opportunistic looting yesterday.,narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0117,2011-06-22,day,A GLANCE BEHIND TRAGEDY OF CUT OF THE LIFE: ELIAN KAREL,cross_source_story,1,商业利益线,medium,3,GAStech|POK|Government|Elian Karel|Elodis|Abila,Elodis|Abila,2,The Orb; The Wrap,249;799,The Orb,"Two years ago yesterday Elian Karel died at age 28 in a cell of prison of Abila, supposedly of heart stop. He had been stopped three months former for incidental expense of tax avoidance and left to b","Two years ago yesterday Elian Karel died at age 28 in a cell of prison of Abila, supposedly of heart stop. He had been stopped three months former for incidental expense of tax avoidance and left to b",narrative_line_1_商业利益线.csv,auto_clustered
EVT-0117,2011-06-22,day,A GLANCE BEHIND TRAGEDY OF CUT OF THE LIFE: ELIAN KAREL,cross_source_story,3,组织对抗线,medium,3,GAStech|POK|Government|Elian Karel|Elodis|Abila,Elodis|Abila,2,The Orb; The Wrap,249;799,The Orb,"Two years ago yesterday Elian Karel died at age 28 in a cell of prison of Abila, supposedly of heart stop. He had been stopped three months former for incidental expense of tax avoidance and left to b","Two years ago yesterday Elian Karel died at age 28 in a cell of prison of Abila, supposedly of heart stop. He had been stopped three months former for incidental expense of tax avoidance and left to b",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0118,2011-06-22,day,Protesters POK the district of Vandalize Siopa,cross_source_story,3,组织对抗线,medium,3,POK|Abila,Abila,2,The Guide; The Truth,361;754,The Truth,The guards of demonstration Kronos resulted in the streets of the district Siopa in Abila of the inner city in many incidents of vandalism and the opportunistic plunder yesterday. The new emblem POK p,The guards of demonstration Kronos resulted in the streets of the district Siopa in Abila of the inner city in many incidents of vandalism and the opportunistic plunder yesterday. The new emblem POK p,narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0119,2011-07-27,day,"POK Labeled a ""Public Threat""",cross_source_story,3,组织对抗线,medium,3,POK|Government|President Kapelou,,2,Kronos Star; The Abila Post,548;705,Kronos Star,"In a statement to the press today, government spokesman Rufus Drymiau said of the POK: ""they are justifiably a public threat due to violent demonstrations, opportunistic vandalism, and clashes with th","In a statement to the press today, government spokesman Rufus Drymiau said of the POK: ""they are justifiably a public threat due to violent demonstrations, opportunistic vandalism, and clashes with th",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0120,2011-07-28,day,GOVERNMENT LABELS POK 'PUBLIC THREAT',cross_source_story,3,组织对抗线,medium,3,POK|Government|President Kapelou|Abila,Abila,7,Central Bulletin; International News; News Desk; News Online Today; The Explainer; The Guide; The Truth,123;224;45;499;527;757;96,Central Bulletin,"ABILA, Kronos - The Kronos Government has labeled the Protectors of Kronos (POK) as a threat to the public. In a statement by government spokesman Rufus Drymiau the POK are described as ""justifiably a","ABILA, Kronos - The Kronos Government has labeled the Protectors of Kronos (POK) as a threat to the public. In a statement by government spokesman Rufus Drymiau the POK are described as ""justifiably a",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0121,2011-07-29,day,"THE GOVERNMENT MARKS POK ""PUBLIC THREAT""",cross_source_story,3,组织对抗线,medium,3,POK|Government|President Kapelou,,2,Athena Speaks; Worldwise,629;64,Athena Speaks,"The government of Kronos marked the Protectors of Kronos (POK) as threats the public. In a report of spokesman Rufus Drymiau of government the POK are described like ""clear public threats due to the v","The government of Kronos marked the Protectors of Kronos (POK) as threats the public. In a report of spokesman Rufus Drymiau of government the POK are described like ""clear public threats due to the v",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0122,2011-11-23,day,KRONOS POLICE ARREST BLOTTER - ABILA,cross_source_story,2,环境冲突线,medium,3,Abila,Abila,2,Central Bulletin; News Online Today,323;37,Central Bulletin,"AWELON, CYNTHE / DOB: 3/20/1981 / Time of Arrest: 0003 hrs / Accused of: DRUG PARAPHERNALIA BLUMIAU, WILLEM / DOB: 2/15/1995 / Time of Arrest: 2215 hrs / Accused of: POSSESSION OF CONTROLLED SUBSTANCE","AWELON, CYNTHE / DOB: 3/20/1981 / Time of Arrest: 0003 hrs / Accused of: DRUG PARAPHERNALIA BLUMIAU, WILLEM / DOB: 2/15/1995 / Time of Arrest: 2215 hrs / Accused of: POSSESSION OF CONTROLLED SUBSTANCE",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0123,2012-02-21,day,"The gas and oil industry of Kronos informed that it takes up its ""greater challenge in 20 years"" of due to the bottom grades of exploration.",cross_source_story,1,商业利益线,medium,3,GAStech|Government,,2,The Continent; World Journal,457;739,World Journal,"The civils servant of energy of government declared that only 15 wells were drilled last year. It was in spite of the strong levels of the investment, reaching one year last record and supported this ","The civils servant of energy of government declared that only 15 wells were drilled last year. It was in spite of the strong levels of the investment, reaching one year last record and supported this ",narrative_line_1_商业利益线.csv,auto_clustered
EVT-0124,2012-03-08,day,Minister of Health Receives Threats from POK,cross_source_story,2,环境冲突线,medium,3,POK|President Kapelou,,3,News Online Today; The Truth; Worldwise,228;584;797,News Online Today,"Police sources have stated that Vincent Kapelou, Minister of Health, has received several threatening letters purporting to come from the POK.","Police sources have stated that Vincent Kapelou, Minister of Health, has received several threatening letters purporting to come from the POK.",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0124,2012-03-08,day,Minister of Health Receives Threats from POK,cross_source_story,3,组织对抗线,medium,3,POK|President Kapelou,,3,News Online Today; The Truth; Worldwise,228;584;797,News Online Today,"Police sources have stated that Vincent Kapelou, Minister of Health, has received several threatening letters purporting to come from the POK.","Police sources have stated that Vincent Kapelou, Minister of Health, has received several threatening letters purporting to come from the POK.",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0125,2012-03-09,day,THREATS ISSUED BY POK,cross_source_story,2,环境冲突线,medium,3,POK|Government|President Kapelou,,2,News Online Today; The Explainer,258;549,News Online Today,"Letters purported to be from the Protectors of Kronos (POK) have been received by Vincent Kapelou, Minister of Health and nephew of President Kapelou.","Letters purported to be from the Protectors of Kronos (POK) have been received by Vincent Kapelou, Minister of Health and nephew of President Kapelou.",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0125,2012-03-09,day,THREATS ISSUED BY POK,cross_source_story,3,组织对抗线,medium,3,POK|Government|President Kapelou,,2,News Online Today; The Explainer,258;549,News Online Today,"Letters purported to be from the Protectors of Kronos (POK) have been received by Vincent Kapelou, Minister of Health and nephew of President Kapelou.","Letters purported to be from the Protectors of Kronos (POK) have been received by Vincent Kapelou, Minister of Health and nephew of President Kapelou.",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0126,2012-03-10,day,THE THREATS PUBLISHED BY POK,cross_source_story,2,环境冲突线,medium,3,POK|Government|President Kapelou|Abila,Abila,2,Athena Speaks; News Desk,104;610,Athena Speaks,"ABILA, Kronos - letters claimed to be from guards of Kronos (POK) were received by Vincent Kapelou, minister of health and nephew of President Kapelou. The menacing letters seem to be the empty threat","ABILA, Kronos - letters claimed to be from guards of Kronos (POK) were received by Vincent Kapelou, minister of health and nephew of President Kapelou. The menacing letters seem to be the empty threat",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0126,2012-03-10,day,THE THREATS PUBLISHED BY POK,cross_source_story,3,组织对抗线,medium,3,POK|Government|President Kapelou|Abila,Abila,2,Athena Speaks; News Desk,104;610,Athena Speaks,"ABILA, Kronos - letters claimed to be from guards of Kronos (POK) were received by Vincent Kapelou, minister of health and nephew of President Kapelou. The menacing letters seem to be the empty threat","ABILA, Kronos - letters claimed to be from guards of Kronos (POK) were received by Vincent Kapelou, minister of health and nephew of President Kapelou. The menacing letters seem to be the empty threat",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0127,2012-04-09,day,RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY,cross_source_story,3,组织对抗线,medium,3,POK|Government|Elodis,Elodis,2,All News Today; Homeland Illumination,135;358,Homeland Illumination,"Silvia Marek, leader of the Protectors of Kronos social action organization is appealing to the citizens of Kronos to join her for a day of peaceful protest tomorrow. Marek asks all concerned citizens","Silvia Marek, leader of the Protectors of Kronos social action organization is appealing to the citizens of Kronos to join her for a day of peaceful protest tomorrow. Marek asks all concerned citizens",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0128,2012-04-10,day,MEETING TO PROGRAM IN SUPPORT OF INCREASING RESPONSIBILITY OF THE GOVERNMENT,cross_source_story,1,商业利益线,medium,3,Government|Elodis,Elodis,2,Daily Pegasus; The Orb,239;773,Daily Pegasus,"Silvia Marek, leader of the protectors of the social organization of the action of Kronos is repealing the citizens of Kronos to assemble it by a day of the pacific protest morning. Marek requests tha","Silvia Marek, leader of the protectors of the social organization of the action of Kronos is repealing the citizens of Kronos to assemble it by a day of the pacific protest morning. Marek requests tha",narrative_line_1_商业利益线.csv,auto_clustered
EVT-0128,2012-04-10,day,MEETING TO PROGRAM IN SUPPORT OF INCREASING RESPONSIBILITY OF THE GOVERNMENT,cross_source_story,3,组织对抗线,medium,3,Government|Elodis,Elodis,2,Daily Pegasus; The Orb,239;773,Daily Pegasus,"Silvia Marek, leader of the protectors of the social organization of the action of Kronos is repealing the citizens of Kronos to assemble it by a day of the pacific protest morning. Marek requests tha","Silvia Marek, leader of the protectors of the social organization of the action of Kronos is repealing the citizens of Kronos to assemble it by a day of the pacific protest morning. Marek requests tha",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0129,2012-06-20,day,Abila police break up sit-in turned violent at the presidential manor,cross_source_story,2,环境冲突线,medium,3,GAStech|POK|Government|Elian Karel|Abila,Abila,2,International Times; World Source,132;282,World Source,"Traffic snarled around the city as Abilians struggle to get to work amid vandalism and looting Early on Tuesday police stormed the front of the presidential mansion and the capital building, breaking ","Traffic snarled around the city as Abilians struggle to get to work amid vandalism and looting Early on Tuesday police stormed the front of the presidential mansion and the capital building, breaking ",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0129,2012-06-20,day,Abila police break up sit-in turned violent at the presidential manor,cross_source_story,3,组织对抗线,medium,3,GAStech|POK|Government|Elian Karel|Abila,Abila,2,International Times; World Source,132;282,World Source,"Traffic snarled around the city as Abilians struggle to get to work amid vandalism and looting Early on Tuesday police stormed the front of the presidential mansion and the capital building, breaking ","Traffic snarled around the city as Abilians struggle to get to work amid vandalism and looting Early on Tuesday police stormed the front of the presidential mansion and the capital building, breaking ",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0130,2012-06-20,day,POK REMEMBERS MARTYRED LEADER,cross_source_story,2,环境冲突线,medium,3,POK|Elian Karel|Henk Bodrogi|Elodis|Abila,Elodis|Abila,3,All News Today; Homeland Illumination; News Online Today,18;570;698,Homeland Illumination,"In a touching ceremony Wednesday leaders of the activist group Protectors of Kronos paid tribute to their fallen leader, Elian Karel, who was murdered on 19 June 2009 while being illegally detained in","In a touching ceremony Wednesday leaders of the activist group Protectors of Kronos paid tribute to their fallen leader, Elian Karel, who was murdered on 19 June 2009 while being illegally detained in",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0130,2012-06-20,day,POK REMEMBERS MARTYRED LEADER,cross_source_story,3,组织对抗线,medium,3,POK|Elian Karel|Henk Bodrogi|Elodis|Abila,Elodis|Abila,3,All News Today; Homeland Illumination; News Online Today,18;570;698,Homeland Illumination,"In a touching ceremony Wednesday leaders of the activist group Protectors of Kronos paid tribute to their fallen leader, Elian Karel, who was murdered on 19 June 2009 while being illegally detained in","In a touching ceremony Wednesday leaders of the activist group Protectors of Kronos paid tribute to their fallen leader, Elian Karel, who was murdered on 19 June 2009 while being illegally detained in",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0131,2012-06-20,day,POK Anniversary Rally Ends in Riot,cross_source_story,3,组织对抗线,medium,3,POK|Abila|Government,Abila,3,International News; Kronos Star; News Online Today,364;785;89,Kronos Star,"POK members held a large demonstration in Abila yesterday. Several dozen of their supporters held sit-ins in front of the capitol building and the presidential manor, while others took to the streets ","POK members held a large demonstration in Abila yesterday. Several dozen of their supporters held sit-ins in front of the capitol building and the presidential manor, while others took to the streets ",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-A183,2012-06-20,day,POK 纪念 Karel 集会,anchor_event,3,组织对抗线,medium,3,POK|Elian Karel|Henk Bodrogi|Elodis|Abila|Government,Elodis|Abila,5,All News Today; Daily Pegasus; Homeland Illumination; News Online Today; The Orb,18;447;570;572;662;698,Daily Pegasus,"In the stirring leaders of Wednesday of the ceremony of the protectors of the group of the activist of Kronos the tribute paid to its fallen leader, Elian Karel, that was assassinated the 19 of June o","In the stirring leaders of Wednesday of the ceremony of the protectors of the group of the activist of Kronos the tribute paid to its fallen leader, Elian Karel, that was assassinated the 19 of June o",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0132,2012-06-21,day,The police of Abila breaks itself for above will seat dice returned violent in presidential,cross_source_story,2,环境冲突线,medium,3,POK|Government|Abila|GAStech|Elian Karel,Abila,4,Everyday News; News Online Today; The Continent; World Journal,318;343;351;57,Everyday News,The traffic around the city as fight of Abilians to be able to work in the middle of vandalism and of the sacking. At the beginning of the Tuesday police stormed the front of the presidential mansion ,The traffic around the city as fight of Abilians to be able to work in the middle of vandalism and of the sacking. At the beginning of the Tuesday police stormed the front of the presidential mansion ,narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0132,2012-06-21,day,The police of Abila breaks itself for above will seat dice returned violent in presidential,cross_source_story,3,组织对抗线,medium,3,POK|Government|Abila|GAStech|Elian Karel,Abila,4,Everyday News; News Online Today; The Continent; World Journal,318;343;351;57,Everyday News,The traffic around the city as fight of Abilians to be able to work in the middle of vandalism and of the sacking. At the beginning of the Tuesday police stormed the front of the presidential mansion ,The traffic around the city as fight of Abilians to be able to work in the middle of vandalism and of the sacking. At the beginning of the Tuesday police stormed the front of the presidential mansion ,narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0133,2012-06-21,day,Ends of the meeting of the anniversary of POK in uproar,cross_source_story,3,组织对抗线,medium,3,POK|Government|Abila,Abila,2,The Guide; The Truth,645;664,The Guide,"The members of POK celebrated a great demonstration in Abila yesterday. It varies dozen of his those in favor carried out seating-ins in front of the building of capitol and señorío presidential, wher","The members of POK celebrated a great demonstration in Abila yesterday. It varies dozen of his those in favor carried out seating-ins in front of the building of capitol and señorío presidential, wher",narrative_line_3_组织对抗线.csv,auto_clustered
ANCHOR-05,2012-06-22,day,Kapelou 总统称 POK 为「罪犯集团」,anchor_event,3,组织对抗线,high,5,POK|Government|President Kapelou|Abila,Abila,1,Kronos Star,541,Kronos Star,政府公开定性 POK，预示后续强硬执法,"President Kapelou called the POK a gang of criminals, thugs, and malcontents... future POK demonstrations will be met with maximum police force",anchor_events.csv,curated
EVT-0134,2012-06-22,day,"Kapelou Calls POK ""A Gang of Criminals""",cross_source_story,3,组织对抗线,medium,3,POK|Government|President Kapelou|Elodis,Elodis,3,International News; News Online Today; Worldwise,337;75;792,News Online Today,"In a press release today, President Kapelou today called the POK ""a gang of criminals, thugs, and malcontents who have become a pestilence to our peaceful way of life.""","In a press release today, President Kapelou today called the POK ""a gang of criminals, thugs, and malcontents who have become a pestilence to our peaceful way of life.""",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0135,2012-06-22,day,POK REMEMBERS MARTYRED LEADER,cross_source_story,1,商业利益线,medium,3,POK|Elian Karel|Henk Bodrogi|Elodis|Abila,Elodis|Abila,2,Daily Pegasus; The Orb,572;662,Daily Pegasus,"In the stirring leaders of Wednesday of the ceremony of the protectors of the group of the activist of Kronos the tribute paid to its fallen leader, Elian Karel, that was assassinated the 19 of June o","In the stirring leaders of Wednesday of the ceremony of the protectors of the group of the activist of Kronos the tribute paid to its fallen leader, Elian Karel, that was assassinated the 19 of June o",narrative_line_1_商业利益线.csv,auto_clustered
EVT-0135,2012-06-22,day,POK REMEMBERS MARTYRED LEADER,cross_source_story,2,环境冲突线,medium,3,POK|Elian Karel|Henk Bodrogi|Elodis|Abila,Elodis|Abila,2,Daily Pegasus; The Orb,572;662,Daily Pegasus,"In the stirring leaders of Wednesday of the ceremony of the protectors of the group of the activist of Kronos the tribute paid to its fallen leader, Elian Karel, that was assassinated the 19 of June o","In the stirring leaders of Wednesday of the ceremony of the protectors of the group of the activist of Kronos the tribute paid to its fallen leader, Elian Karel, that was assassinated the 19 of June o",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0135,2012-06-22,day,POK REMEMBERS MARTYRED LEADER,cross_source_story,3,组织对抗线,medium,3,POK|Elian Karel|Henk Bodrogi|Elodis|Abila,Elodis|Abila,2,Daily Pegasus; The Orb,572;662,Daily Pegasus,"In the stirring leaders of Wednesday of the ceremony of the protectors of the group of the activist of Kronos the tribute paid to its fallen leader, Elian Karel, that was assassinated the 19 of June o","In the stirring leaders of Wednesday of the ceremony of the protectors of the group of the activist of Kronos the tribute paid to its fallen leader, Elian Karel, that was assassinated the 19 of June o",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0136,2012-06-23,day,The question POK of Kapelou a troop of criminals,cross_source_story,3,组织对抗线,medium,3,POK|Government|President Kapelou|Elodis,Elodis,2,The Guide; The Truth,156;194,The Truth,"In a press communication today, president Kapelou today called POK a troop of criminals, criminals, and malcontents who pestilence to our peaceful manner of living. have become the comments of preside","In a press communication today, president Kapelou today called POK a troop of criminals, criminals, and malcontents who pestilence to our peaceful manner of living. have become the comments of preside",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0137,2012-08-22,day,WHO ARE THE PROTESTERS,cross_source_story,1,商业利益线,medium,3,POK|Government|Elian Karel|Elodis|GAStech|Abila,Elodis|Abila,2,News Online Today; The Abila Post,184;54,The Abila Post,"With the third anniversary of Elian Karel's death approaching - former member of the Protectors of Kronos - the question is: who are the protesters? But not only who are they, what and why are they pr","With the third anniversary of Elian Karel's death approaching - former member of the Protectors of Kronos - the question is: who are the protesters? But not only who are they, what and why are they pr",narrative_line_1_商业利益线.csv,auto_clustered
EVT-0137,2012-08-22,day,WHO ARE THE PROTESTERS,cross_source_story,2,环境冲突线,medium,3,POK|Government|Elian Karel|Elodis|GAStech|Abila,Elodis|Abila,2,News Online Today; The Abila Post,184;54,The Abila Post,"With the third anniversary of Elian Karel's death approaching - former member of the Protectors of Kronos - the question is: who are the protesters? But not only who are they, what and why are they pr","With the third anniversary of Elian Karel's death approaching - former member of the Protectors of Kronos - the question is: who are the protesters? But not only who are they, what and why are they pr",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0137,2012-08-22,day,WHO ARE THE PROTESTERS,cross_source_story,3,组织对抗线,medium,3,POK|Government|Elian Karel|Elodis|GAStech|Abila,Elodis|Abila,2,News Online Today; The Abila Post,184;54,The Abila Post,"With the third anniversary of Elian Karel's death approaching - former member of the Protectors of Kronos - the question is: who are the protesters? But not only who are they, what and why are they pr","With the third anniversary of Elian Karel's death approaching - former member of the Protectors of Kronos - the question is: who are the protesters? But not only who are they, what and why are they pr",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0138,2012-08-23,day,WHO ARE THE PROTESTERS,cross_source_story,1,商业利益线,medium,3,GAStech|POK|Government|Elian Karel|Elodis|Abila,Elodis|Abila,2,Central Bulletin; News Desk,213;709,Central Bulletin,"ABILA, Kronos - With the third anniversary of Elian Karel's death approaching - former member of the Protectors of Kronos - the question is: who are the protesters? The Protectors of Kronos or POK wer","ABILA, Kronos - With the third anniversary of Elian Karel's death approaching - former member of the Protectors of Kronos - the question is: who are the protesters? The Protectors of Kronos or POK wer",narrative_line_1_商业利益线.csv,auto_clustered
EVT-0138,2012-08-23,day,WHO ARE THE PROTESTERS,cross_source_story,2,环境冲突线,medium,3,GAStech|POK|Government|Elian Karel|Elodis|Abila,Elodis|Abila,2,Central Bulletin; News Desk,213;709,Central Bulletin,"ABILA, Kronos - With the third anniversary of Elian Karel's death approaching - former member of the Protectors of Kronos - the question is: who are the protesters? The Protectors of Kronos or POK wer","ABILA, Kronos - With the third anniversary of Elian Karel's death approaching - former member of the Protectors of Kronos - the question is: who are the protesters? The Protectors of Kronos or POK wer",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0138,2012-08-23,day,WHO ARE THE PROTESTERS,cross_source_story,3,组织对抗线,medium,3,GAStech|POK|Government|Elian Karel|Elodis|Abila,Elodis|Abila,2,Central Bulletin; News Desk,213;709,Central Bulletin,"ABILA, Kronos - With the third anniversary of Elian Karel's death approaching - former member of the Protectors of Kronos - the question is: who are the protesters? The Protectors of Kronos or POK wer","ABILA, Kronos - With the third anniversary of Elian Karel's death approaching - former member of the Protectors of Kronos - the question is: who are the protesters? The Protectors of Kronos or POK wer",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0139,2012-08-24,day,WHO ARE the PROTESTERS,cross_source_story,1,商业利益线,medium,3,GAStech|POK|Government|Elian Karel|Elodis|Abila,Elodis|Abila,2,Athena Speaks; The Explainer,300;74,Athena Speaks,"With the approaching third birthday of the death of of Elian Karel - former member of the Protectors of Kronos - the question is: who are the protesters? But not only which is they, which and why they","With the approaching third birthday of the death of of Elian Karel - former member of the Protectors of Kronos - the question is: who are the protesters? But not only which is they, which and why they",narrative_line_1_商业利益线.csv,auto_clustered
EVT-0139,2012-08-24,day,WHO ARE the PROTESTERS,cross_source_story,2,环境冲突线,medium,3,GAStech|POK|Government|Elian Karel|Elodis|Abila,Elodis|Abila,2,Athena Speaks; The Explainer,300;74,Athena Speaks,"With the approaching third birthday of the death of of Elian Karel - former member of the Protectors of Kronos - the question is: who are the protesters? But not only which is they, which and why they","With the approaching third birthday of the death of of Elian Karel - former member of the Protectors of Kronos - the question is: who are the protesters? But not only which is they, which and why they",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0139,2012-08-24,day,WHO ARE the PROTESTERS,cross_source_story,3,组织对抗线,medium,3,GAStech|POK|Government|Elian Karel|Elodis|Abila,Elodis|Abila,2,Athena Speaks; The Explainer,300;74,Athena Speaks,"With the approaching third birthday of the death of of Elian Karel - former member of the Protectors of Kronos - the question is: who are the protesters? But not only which is they, which and why they","With the approaching third birthday of the death of of Elian Karel - former member of the Protectors of Kronos - the question is: who are the protesters? But not only which is they, which and why they",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0140,2012-09-08,day,PROTESTS SWELL IN ABILA IN RESPONSE TO CALLS TO ACTION,cross_source_story,2,环境冲突线,medium,3,Government|Elian Karel|Abila|POK,Abila,3,All News Today; The Orb; The Wrap,0;520;753,All News Today,"Thousands of people lined the roads on Thursday in a display of antigovernment solidarity. Among the demonstrators was Mestache Vardshvna, 23, from the west coast of Kronos. ""This is important, so I t","Thousands of people lined the roads on Thursday in a display of antigovernment solidarity. Among the demonstrators was Mestache Vardshvna, 23, from the west coast of Kronos. ""This is important, so I t",narrative_line_2_环境冲突线.csv,auto_clustered
EVT-0140,2012-09-08,day,PROTESTS SWELL IN ABILA IN RESPONSE TO CALLS TO ACTION,cross_source_story,3,组织对抗线,medium,3,Government|Elian Karel|Abila|POK,Abila,3,All News Today; The Orb; The Wrap,0;520;753,All News Today,"Thousands of people lined the roads on Thursday in a display of antigovernment solidarity. Among the demonstrators was Mestache Vardshvna, 23, from the west coast of Kronos. ""This is important, so I t","Thousands of people lined the roads on Thursday in a display of antigovernment solidarity. Among the demonstrators was Mestache Vardshvna, 23, from the west coast of Kronos. ""This is important, so I t",narrative_line_3_组织对抗线.csv,auto_clustered
EVT-0141,2012-11-12,day,POK DEMONSTRATIONS ON THE INCREASE,cross_source_story,3,组织对抗线,medium,3,POK|Government,,3,News Online Today; The Orb; The Wrap,108;840;843,News Online Today,"An increase in the frequency of demonstrations by the Protectors of Kronos have given rise to concerns from the Government of Kronos. Three recent demonstrations, in as many weeks, have drawn crowds o","An increase in the frequency of demonstrations by the Protectors of Kronos have given rise to concerns from the Government of Kronos. Three recent demonstrations, in as many weeks, have drawn crowds o",narrative_line_3_组织对抗线.csv,auto_clustered
